Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
FP,high,TV,508,1.99,FP 39,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.05,0.477,,,0.075,0.013,0.013,0.025,0.025,0.389,0.063,0.427,,0.062,0.434,2.744,7.554,1.094,0.12,0.219
FP,high,TV,511,2.02,FP 49,0.012254902,0.013,0.198,,0.012,0.1,0.025,,0.025,0.025,0.545,,,0.124,0.013,0.013,0.025,0.025,0.389,0.063,0.297,,0.04,0.434,1.644,19.518,3.58,0.091,0.061
FP,high,TV,514,2,FP 59,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.225,0.825,,,1.1,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.029,0.061,0.615,0.938,0.761,0.047,0.317
FP,high,TV,519,1.49,FP 69,0.012254902,0.013,0.268,,0.034,0.1,0.025,,0.134,0.067,1.443,,,0.101,0.013,0.013,0.025,0.025,0.389,0.063,5,,0.029,0.22,1.517,0.938,1.22,0.047,0.364
FP,high,TV,523,2,FP 79,0.012254902,0.013,0.25,,0.025,0.1,0.025,,0.012,0.1,0.325,,,0.05,0.013,0.013,0.025,0.025,0.389,0.063,6.3,,0.029,1.418,3.801,1.221,4.223,0.594,0.814
FP,high,TV,527,2,FP 89,0.012254902,0.013,0.225,,0.05,0.1,0.025,,0.012,0.075,0.275,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.925,,0.277,0.351,0.879,0.938,3.642,0.781,0.793
DBT,high,TV,429,1.3927,DBT 8,,0.154,0.104,0.138,0.79,0.586,0.9,0.937,,1.903,106.448,0.035,0.404,0.045,0.718,0.04,0.9,0.329,3.448,,42.687,0.397,0.161,0.228,1.844,5.958,0.067,0.55,5.902
DBT,high,TV,502,1.0459,DBT 19,,0.154,0.104,0.138,1.625,0.586,0.9,0.937,,1.912,315.518,0.035,0.404,0.045,1.339,0.04,0.9,0.329,3.448,,44.125,0.397,0.161,0.228,1.844,5.958,0.067,0.55,7.526
DBT,high,TV,505,1.1047,DBT 29,,0.154,1.629,0.138,1.222,0.586,0.9,0.937,,2.037,220.965,0.035,0.404,0.091,0.453,0.04,0.9,0.329,3.448,,14.348,0.397,0.161,0.228,50.619,5.958,0.067,11.074,0.185
DBT,high,TV,508,1.1534,DBT 39,,0.154,0.104,0.138,1.04,0.586,0.9,34.853,,1.431,15.476,0.035,0.404,0.045,0.39,0.04,0.9,0.329,3.448,,16.646,0.397,0.161,11.889,1.844,5.958,0.067,0.55,0.185
DBT,high,TV,511,1.3957,DBT 49,,0.154,0.287,0.138,1.039,0.586,0.9,0.937,,1.648,78.061,0.035,0.404,0.045,1.218,0.04,0.9,0.329,3.448,,29.054,0.397,0.161,0.228,1.844,60.464,0.067,0.55,0.185
DBT,high,TV,514,1.2291,DBT 59,,0.154,0.104,0.138,1.464,0.586,0.9,7.078,,3.295,7.526,0.035,0.404,0.045,0.651,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,2790.78,0.067,0.55,0.185
DBT,high,TV,519,1.3766,DBT 69,,0.154,0.104,0.138,0.654,0.586,0.9,0.937,,1.525,277.822,0.035,0.404,0.045,0.654,0.04,0.9,0.329,3.448,,23.318,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,TV,523,1.2241,DBT 78,,0.154,0.104,0.138,0.613,0.586,0.9,6.821,,1.797,115.35,0.035,0.404,0.045,0.776,0.04,0.9,0.329,3.448,,22.629,0.397,0.161,0.228,1.844,5.958,0.067,0.55,8.216
DBT,high,TV,527,1.1689,DBT 89,,0.154,0.104,0.138,1.155,0.586,0.9,0.937,,1.497,143.083,0.035,1.497,0.045,0.071,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,11.051,0.185
DBT,high,TV,603,1.2635,DBT 99,,0.154,0.104,0.138,1.622,0.586,0.9,14.365,,1.702,557.262,0.035,0.404,0.045,0.317,0.04,0.9,0.329,3.448,,12.07,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
IHNB,high,TV,428,1,IH NB 91,0.06,,0.304,,0.247,0.273,0.238,,,0.048,6.152,0.035,0.464,0.21,0.037,0.066,,,0.464,0.322,0.835,0.445,1.221,4.196,4.48,5.318,0.837,0.36,0.303
IHNB,high,TV,506,2,IH NB 98,0.06,,0.304,,0.252,0.273,0.238,,,0.16,8.246,0.137,0.464,0.21,0.037,0.066,,,0.464,0.322,0.835,0.445,1.819,8.977,5.475,30.846,0.837,0.36,1.015
IHNB,high,TV,512,3,IH NB 105,0.06,,0.985,,0.284,0.273,0.238,,,1.496,9.413,0.095,0.464,0.21,0.152,0.379,,,0.928,0.644,0.835,0.89,0.995,3.849,5.475,3.07,0.837,0.36,0.303
IHNB,high,TV,520,4,IH NB 112,0.06,,0.304,,0.505,0.273,0.238,,,0.048,11.106,0.035,0.464,0.21,0.037,0.066,,,0.464,0.322,0.835,0.445,0.995,8.893,5.475,3.07,0.837,171.605,1.286
IHL,high,TV,428,1.9061,IH L 63,0.321,,,,0.157,,,,,7.135,10.309,1.18,0.518,,0.839,,,,,0.519,,0.9,0.446,0.123,0.058,1.024,0.137,0.418,0.031
IHL,high,TV,506,1.5951,IH L 70,1.693,,,,0.125,,,,,5.705,8.15,0.721,0.518,,0.564,,,,,0.519,,0.9,0.186,0.123,0.058,1.024,0.137,0.11,0.679
IHL,high,TV,512,0.2788,IH L 77,0.321,,,,0.179,,,,,4.484,31.205,0.177,0.518,,0.128,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,9.587,2.043
IHL,high,TV,520,1.1702,IH L 84,4.7,,,,0.018,,,,,13.673,13.844,2.521,8.204,,0.769,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.443,0.031
IHBB,high,TV,428,3.1,IH BB 7,0.134,,0.356,0.04,0.027,,,5.926,0.184,0.913,3.809,0.223,,0.18,0.111,,,,,,3.653,,0.104,0.355,0.558,3.369,0.69,1.528,0.041
IHBB,high,TV,506,3,IH BB 14,0.38,,2.22,0.04,0.1,,,20.9,0.184,1.66,6.54,0.22,,0.76,0.015,,,,,,1.84,,0.104,0.355,9.641,32.632,12.755,5.731,2.007
IHBB,high,TV,512,1.1,IH BB 21,0.067,,0.089,0.04,0.299,,,1.546,0.184,0.026,2.953,0.02,,0.18,0.166,,,,,,0.615,,0.104,0.355,0.558,36.854,18.04,0.124,1.798
IHBB,high,TV,520,2,IH BB 28,0.067,,0.089,0.04,0.113,,,1.546,0.184,0.026,1.56,0.02,,0.18,0.068,,,,,,0.615,,0.104,0.355,0.558,35.757,1.693,0.124,0.418
IHH,high,TV,428,5.18,IH H 35,,,0.016,,0.09,,,,,0.004,1.481,0.011,,0.023,0.021,,,,,,0.41,,0.082,0.171,0.028,0.373,0.171,0.027,0.025
IHH,high,TV,506,5.2,IH H 42,,,0.086,,0.086,,,,,0.004,2.734,0.062,,0.023,0.008,,,,,,0.41,,0.082,0.171,0.491,0.373,0.106,0.027,0.025
IHH,high,TV,512,5.12,IH H 49,,,0.016,,0.116,,,,,0.015,4.822,0.023,,0.023,0.008,,,,,,0.41,,0.082,0.171,0.244,0.373,0.163,0.027,0.084
IHH,high,TV,520,4.97,IH H 56,,,0.065,,0.078,,,,,0.004,1.386,0.02,,0.023,0.008,,,,,,2.132,,0.082,0.171,0.062,0.373,0.102,0.038,0.024
FP,high,WB,430,0.953,FP 10,0.012254902,0.013,0.025,,0.105,0.1,0.025,,0.012,0.105,0.839,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.925,0.434,7.517,6.35,6.311,1.424,1.674
FP,high,WB,502,1.51,FP 20,0.012254902,0.013,0.025,,0.066,0.1,0.025,,0.012,0.066,0.43,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.371,0.434,3.596,8.872,2.357,0.416,0.767
FP,high,WB,505,1.5,FP 30,0.012254902,0.013,0.025,,0.012,0.1,0.025,,0.012,0.067,0.833,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,10.101,19.605,4.237,0.727,1.226
FP,high,WB,508,1.99,FP 40,0.012254902,0.013,0.302,,0.05,0.1,0.025,,0.276,0.075,0.93,,,0.025,0.013,0.025,0.025,0.025,0.389,0.063,1.583,,0.04,0.434,20.462,5.411,1.393,0.281,0.388
FP,high,WB,511,2,FP 50,0.012254902,0.025,0.45,,0.025,0.1,0.025,,0.55,0.1,0.75,,,0.1,0.013,0.013,0.025,0.025,0.389,0.063,1.025,,0.04,0.434,5.287,9.744,3.478,0.216,0.614
FP,high,WB,514,1.99,FP 60,0.012254902,0.013,0.352,,0.025,0.1,0.025,,1.08,0.075,0.779,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,0.779,,0.029,0.757,2.546,1.809,2.051,0.23,0.249
FP,high,WB,519,1.49,FP 70,0.012254902,0.013,0.94,,0.034,0.1,0.134,,2.349,0.012,5.336,,,0.067,0.034,0.013,0.025,0.025,0.389,0.063,6.846,,0.029,0.061,3.384,0.938,2.161,0.083,0.442
FP,high,WB,523,2.01,FP 80,0.012254902,0.013,0.05,,0.012,0.1,0.025,,0.012,0.05,0.025,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,2.313,,0.029,4.238,3.484,2.677,2.106,0.047,0.433
FP,high,WB,527,1.99,FP 90,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.025,0.025,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,1.307,,0.029,0.061,1.175,0.938,2.039,0.43,0.503
DBT,high,WB,430,1.4212,DBT 10,,0.317,0.104,0.138,1.196,0.586,0.9,0.937,,2.603,149.451,0.035,0.404,0.045,1.091,0.04,0.9,0.329,3.448,,14.847,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,WB,502,1.3083,DBT 20,,0.154,0.104,0.138,0.65,0.586,0.9,0.937,,1.108,14.981,0.115,0.404,0.045,0.229,0.04,0.9,0.329,3.448,,15.746,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,WB,505,1.4212,DBT 30,,0.154,0.104,0.138,1.231,0.586,0.9,13.721,,3.272,70.046,0.035,0.404,0.045,1.442,0.04,0.9,0.329,3.448,,1.583,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,WB,508,1.348,DBT 40,,0.154,0.104,0.138,1.001,0.586,0.9,32.752,,1.966,56.825,0.035,0.404,0.045,0.482,0.04,0.9,0.329,3.448,,16.061,0.397,42.237,0.228,2.291,5.958,0.067,0.55,0.185
DBT,high,WB,511,1.4098,DBT 50,,0.154,0.104,0.138,0.78,0.586,0.9,9.15,,2.518,44.652,0.035,0.404,0.045,0.638,0.04,0.9,0.329,3.448,,11.456,0.397,0.161,0.228,61.007,5.958,0.067,0.55,0.185
DBT,high,WB,514,1.439,DBT 60,,0.154,0.104,0.138,0.903,0.586,0.9,24.253,,1.286,110.146,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,11.909
DBT,high,WB,519,1.307,DBT 70,,0.154,0.104,1.951,0.803,0.586,0.9,49.044,,3.175,110.023,0.035,0.404,0.045,1.951,0.04,0.9,6.35,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,3.694,0.185
DBT,high,WB,523,1.613,DBT 79,,0.154,0.104,0.138,0.899,0.586,0.9,0.937,,0.961,2.945,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,3.701
DBT,high,WB,527,1.2264,DBT 90,,0.154,0.285,0.138,0.02,0.586,0.9,0.937,,1.345,20.915,0.035,1.101,0.045,0.071,0.04,2.609,0.329,3.448,,15.37,0.397,0.161,0.228,1.844,5.958,0.067,8.108,9.254
DBT,high,WB,603,1.3268,DBT 100,,0.154,0.104,0.138,2.299,0.586,0.9,23.251,,3.354,37.383,0.035,0.404,0.045,1.244,0.04,0.9,0.329,6.896,,6.934,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
FP,high,WV,507,1.99,FP 91,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.477,0.075,1.055,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,1.281,,0.029,0.108,0.057,4.734,1.121,0.098,0.147
FP,high,WV,510,2,FP 92,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.625,0.05,0.25,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.3,,0.042,0.473,2.253,1.3,3.147,0.422,0.553
FP,high,WV,516,2,FP 93,0.012254902,0.013,0.025,,0.012,0.1,0.025,,0.05,0.05,0.35,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,0.875,,0.029,0.32,1.535,0.938,1.573,0.136,0.437
FP,high,WV,524,1.98,FP 94,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.051,0.025,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,1.417,0.061,0.057,0.938,24.804,0.047,5.373
