Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
IHBB,low,DS,507,3,IH BB 9,0.067,,0.745,0.04,0.172,,,9.471,0.592,2.215,4.316,0.267,,0.18,0.095,,,,,,3.113,,0.104,0.355,0.558,4.761,1.124,2.072,0.515
IHBB,low,DS,513,1.2,IH BB 16,0.067,,0.089,0.04,0.298,,,1.546,0.184,0.119,6.77,0.119,,0.18,0.119,,,,,,0.615,,0.104,0.355,0.855,3.632,2.591,2.724,0.219
IHBB,low,DS,521,2.6,IH BB 23,0.067,,0.089,0.04,0.163,,,1.546,0.184,0.082,3.431,0.065,,0.18,0.049,,,,,,0.615,,0.104,0.355,0.558,8.213,0.941,0.846,0.041
IHH,low,DS,427,5.22,IH H 30,,,0.016,,0.139,,,,,0.042,2.384,0.005,,0.023,0.008,,,,,,7.029,,0.082,0.171,0.028,0.373,0.263,0.027,0.185
IHH,low,DS,507,5.02,IH H 37,,,0.016,,0.132,,,,,0.028,3.264,0.005,,0.023,0.008,,,,,,4.487,,0.082,0.171,0.028,0.373,0.224,2.284,0.017
IHH,low,DS,513,5.07,IH H 44,,,0.016,,0.11,,,,,0.05,2.61,0.005,,0.023,0.008,,,,,,6.15,,0.082,0.171,0.028,0.373,0.193,2.291,0.008
IHH,low,DS,521,5.4,IH H 51,,,0.016,,0.107,,,,,0.04,2.508,0.005,,0.023,0.008,,,,,,2.734,,0.082,0.171,0.028,0.373,0.123,0.236,0.052
FP,high,FSR,429,1.996,FP 3,0.012254902,0.013,0.376,,0.05,0.2,0.326,,0.075,0.601,1.728,,,0.012,0.013,0.2,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,0.202,2.832,0.718,0.213,0.296
FP,high,FSR,502,1.499,FP 13,0.012254902,0.013,0.467,,0.067,0.1,0.025,,0.233,0.133,1.234,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.6,,0.04,0.434,46.482,91.88,3.567,0.091,0.16
FP,high,FSR,505,1.49,FP 23,0.012254902,0.013,0.336,,0.067,0.1,0.025,,0.012,0.012,1.678,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.434,19.051,46.935,4.645,0.631,0.825
FP,high,FSR,508,2.01,FP 33,0.012254902,0.013,0.025,,0.05,0.1,0.025,,0.012,0.05,0.423,,,0.012,0.013,0.199,0.05,0.224,1.592,0.063,0.597,,0.04,0.434,1.387,2.223,1.49,0.091,0.392
FP,high,FSR,511,2.01,FP 43,0.012254902,0.025,0.224,,0.025,0.1,0.025,,0.012,0.124,0.423,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,0.97,,0.04,0.434,12.858,17.014,27.844,0.091,0.522
FP,high,FSR,514,2,FP 53,0.012254902,0.05,0.625,,0.025,0.1,0.025,,1.05,0.25,2.625,,,0.4,0.075,0.013,0.025,0.025,0.389,0.063,9.9,,0.062,0.061,3.125,0.938,1.238,0.047,0.216
FP,high,FSR,519,1.5,FP 63,0.012254902,0.013,0.367,,0.033,0.5,0.533,,0.367,0.012,1.7,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,12.2,,0.092,0.652,1.072,1.297,1.67,0.763,0.477
FP,high,FSR,523,2,FP 73,0.012254902,0.013,0.075,,0.025,0.1,0.025,,0.012,0.025,0.175,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,3.125,,0.029,0.165,0.87,0.938,2.638,0.41,0.567
FP,high,FSR,527,2.02,FP 83,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.05,0.149,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,1.089,,0.029,1.311,0.057,0.938,10.658,0.047,2.107
DBT,high,FSR,429,1.2851,DBT 3,,0.154,0.104,0.138,1.012,0.586,0.9,0.937,,0.7,47.545,0.035,0.404,0.045,0.389,0.04,0.9,0.329,3.448,,23.889,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,FSR,502,1.5676,DBT 13,,0.154,0.104,0.138,1.595,2.009,10.621,40.54,,6.443,16.426,0.035,7.24,0.045,1.276,0.04,0.9,0.329,3.448,,2.169,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,FSR,505,1.5313,DBT 23,,0.154,0.104,0.138,0.751,0.586,0.9,0.937,,0.947,114.413,0.035,0.404,0.045,0.457,0.04,0.9,0.329,3.448,,7.575,0.397,0.161,0.228,18.478,5.958,0.067,0.55,0.185
DBT,high,FSR,508,1.3197,DBT 33,,0.154,0.104,0.138,1.478,0.586,0.9,24.058,,4.206,53.308,0.035,0.404,0.045,1.478,0.04,0.9,0.329,3.448,,5.191,0.397,0.161,0.228,33.958,5.958,0.067,0.55,0.185
